#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
200,Liberia,"7,432",,294 ,,"5,747",,"1,391",2,"1,409",56,"139,824","26,518","5,272,811 ",Africa
201,Chad,"7,411",,193 ,,"4,874",,"2,344",,429,11,"191,341","11,074","17,278,693 ",Africa
202,Samoa,"7,185",,13 ,,"1,605",,"5,567",3,"35,782",65,"53,893","268,390","200,801 ",Australia/Oceania
203,Vanuatu,"6,952",+88,13 ,,"6,422",+17,517,5,"21,716",41,"24,976","78,017","320,134 ",Australia/Oceania
204,St. Vincent Grenadines,"6,779",,106 ,,"6,641",,32,,"60,756",950,"98,860","886,017","111,578 ",North America
205,British Virgin Islands,"6,296",,62 ,,N/A,N/A,N/A,1,"205,785","2,026","102,862","3,362,053","30,595 ",North America
206,Sao Tome and Principe,"5,957",,73 ,,"5,880",,4,,"26,297",322,"29,036","128,180","226,526 ",Africa
207,Turks and Caicos,"5,941",,36 ,,"5,862",,43,4,"149,779",908,"478,593","12,065,877","39,665 ",North America
208,Saint Kitts and Nevis,"5,562",,43 ,,"5,518",,1,,"103,229",798,"65,141","1,209,001","53,880 ",North America
209,Cook Islands,"4,727",,1 ,,"3,990",,736,,"268,686",57,"15,740","894,674","17,593 ",Australia/Oceania
210,St. Barth,"4,432",,6 ,,N/A,N/A,N/A,,"446,234",604,"78,646","7,918,445","9,932 ",North America
211,Palau,"4,396",,6  ,,"3,879",,511,1,"240,877",329,"45,500","2,493,151","18,250 ",Australia/Oceania
212,Kiribati,"3,080",,13 ,,"2,599",,468,3,"25,088",106,,,"122,767 ",Australia/Oceania
213,Anguilla,"2,731",,9 ,,"2,716",,6,4,"179,141",590,"51,382","3,370,417","15,245 ",North America
214,Saint Pierre Miquelon,"2,641",,1 ,,"2,449",,191,1,"459,864",174,"22,941","3,994,602","5,743 ",North America
215,Diamond Princess,712,,13 ,,699,,0,,,,,, ,
216,Wallis and Futuna,454,,7 ,,438,,9,,"41,716",643,"20,508","1,884,407","10,883 ",Australia/Oceania
217,Montserrat,207,,2 ,,174,,31,,"41,425",400,"9,716","1,944,367","4,997 ",North America
218,Falkland Islands,128,, ,,N/A,N/A,N/A,,"34,944",,"8,632","2,356,538","3,663 ",South America
219,Macao,82,, ,,82,,0,,123,,"5,375","8,078","665,360 ",Asia
220,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe
221,Marshall Islands,17,, ,,7,,10,,284,,,,"59,913 ",Australia/Oceania
222,Western Sahara,10,,1 ,,9,,0,,16,2,,,"623,916 ",Africa
223,MS Zaandam,9,,2 ,,7,,0,,,,,, ,
224,Niue,8,, ,,7,,1,,"4,860",,,,"1,646 ",Australia/Oceania
225,Micronesia,3,, ,,1,,2,,26,,,,"117,206 ",Australia/Oceania
226,Nauru,3,, ,,3,,0,,274,,,,"10,947 ",Australia/Oceania
227,Saint Helena,2,, ,,2,,0,,327,,,,"6,110 ",Africa
228,China,"205,257","+1,923","4,828 ",+52,"171,703","+2,323","28,726",341,143,3,"160,000,000","111,163","1,439,323,776 ",Asia
